brand,model,availableNow,range,rangeKm,rangeMi,batteryKwh,seats,awd,rapidCharge,segment,zeroTo100,topSpeed,efficiency,fastchargeSpeed,priceGbp,priceUsd
Byton ,M-Byte 72 kWh,FALSE,310 km,310 ,192.6250689,80,5,FALSE,TRUE,J,7.5 sec,190 km/h,23.2 kWh,370 km/h,50000,64573
Honda ,e Advance,FALSE,200 km,200 ,124.274238,35.5,4,FALSE,TRUE,B,8.3 sec,145 km/h,16 kWh,270 km/h,28660,37013.2436
Ford ,Mustang Mach-E ER AWD,FALSE,430 km,430 ,267.1896117,98.8,5,TRUE,TRUE,J,6.0 sec,180 km/h,20.9 kWh,410 km/h,53450,69028.537
BMW ,i3s 120 Ah,TRUE,230 km,230 ,142.9153737,42.2,4,FALSE,TRUE,B,6.9 sec,160 km/h,16.5 kWh,260 km/h,34170,44129.1882
Tesla ,Model Y Long Range Performance,FALSE,410 km,410 ,254.7621879,75,7,TRUE,TRUE,J,3.7 sec,241 km/h,17.7 kWh,900 km/h,56000,72321.76
Porsche ,Taycan 4S Plus,TRUE,410 km,410 ,254.7621879,93.4,4,TRUE,TRUE,F,4.0 sec,250 km/h,20.4 kWh,820 km/h,84480,109102.5408
Porsche ,Taycan Turbo,TRUE,375 km,375 ,233.0141963,93.4,4,TRUE,TRUE,F,3.2 sec,260 km/h,22.3 kWh,750 km/h,112358,145105.8627
Peugeot ,Partner Tepee Electric,TRUE,110 km,110 ,68.3508309,22.5,5,FALSE,TRUE,M,19.5 sec,110 km/h,18.6 kWh,150 km/h,,
Tesla ,Model X Performance,TRUE,445 km,445 ,276.5101796,100,7,TRUE,TRUE,J,2.9 sec,250 km/h,21.3 kWh,490 km/h,97890,126421.0194
Smart ,EQ fortwo coupe,TRUE,105 km,105 ,65.24397495,17.6,2,FALSE,FALSE,A,11.6 sec,130 km/h,15.9 kWh,-,16850,21761.101
Ford ,Mustang Mach-E SR AWD,FALSE,340 km,340 ,211.2662046,75.7,5,TRUE,TRUE,J,6.0 sec,180 km/h,20.6 kWh,360 km/h,43070,55623.1822
Audi ,e-tron Sportback 50 quattro,FALSE,290 km,290 ,180.1976451,71,5,TRUE,TRUE,J,6.8 sec,190 km/h,22.3 kWh,420 km/h,60000,77487.6
Kia ,e-Soul 39 kWh,TRUE,230 km,230 ,142.9153737,42,5,FALSE,TRUE,J,9.6 sec,156 km/h,17 kWh,220 km/h,,
Smart ,EQ forfour ,TRUE,90 km,90 ,55.9234071,17.6,4,FALSE,FALSE,A,12.7 sec,130 km/h,18.6 kWh,-,17285,22322.8861
Kia ,e-Niro 64 kWh,TRUE,375 km,375 ,233.0141963,67.1,5,FALSE,TRUE,J,7.8 sec,167 km/h,17.1 kWh,350 km/h,34495,44548.9127
Smart ,EQ fortwo cabrio,TRUE,95 km,95 ,59.03026305,17.6,2,FALSE,FALSE,A,11.9 sec,130 km/h,17.6 kWh,-,20420,26371.6132
Kia ,e-Niro 39 kWh,TRUE,240 km,240 ,149.1290856,42,5,FALSE,TRUE,J,9.8 sec,155 km/h,16.3 kWh,230 km/h,,
Aiways ,U5 ,FALSE,340 km,340 ,211.2662046,65,5,FALSE,TRUE,J,9.0 sec,150 km/h,19.1 kWh,370 km/h,25000,32286.5
